
Team: Winner		Date: Date		 Winning QB: QB  Winner		 Winning Coach: Coach Winner		 MVP		Points: Winning Pts vs Losing Pts

Team: Green Bay Packers		Date: 15-Jan-67		 Winning QB: Bart Starr		 Winning Coach: Vince Lombardi		 Bart Starr		Points: 35 vs 10

Team: Green Bay Packers		Date: 14-Jan-68		 Winning QB: Bart Starr		 Winning Coach: Vince Lombardi		 Bart Starr		Points: 33 vs 14

Team: New York Jets		Date: 12-Jan-69		 Winning QB: Joe Namath		 Winning Coach: Weeb Ewbank		 Joe Namath		Points: 16 vs 7

Team: Kansas City Chiefs		Date: 11-Jan-70		 Winning QB: Len Dawson Mike Livingston		 Winning Coach: Hank Stram		 Len Dawson		Points: 23 vs 7

Team: Baltimore Colts		Date: 17-Jan-71		 Winning QB: Earl Morrall Johnny Unitas		 Winning Coach: Don McCafferty		 Chuck Howley		Points: 16 vs 13

Team: Dallas Cowboys		Date: 16-Jan-72		 Winning QB: Roger Staubach		 Winning Coach: Tom Landry		 Roger Staubach		Points: 24 vs 3

Team: Miami Dolphins		Date: 14-Jan-73		 Winning QB: Bob Griese		 Winning Coach: Don Shula		 Jake Scott		Points: 14 vs 7

Team: Miami Dolphins		Date: 13-Jan-74		 Winning QB: Bob Griese		 Winning Coach: Don Shula		 Larry Csonka		Points: 24 vs 7

Team: Pittsburgh Steelers		Date: 12-Jan-75		 Winning QB: Terry Bradshaw		 Winning Coach: Chuck Noll 		 Franco Harris		Points: 16 vs 6

Team: Pittsburgh Steelers		Date: 18-Jan-76		 Winning QB: Terry Bradshaw		 Winning Coach: Chuck Noll 		 Lynn Swann		Points: 21 vs 17

Team: Oakland Raiders		Date: 9-Jan-77		 Winning QB: Kenny Stabler		 Winning Coach: John Madden		 Fred Biletnikoff		Points: 32 vs 14

Team: Dallas Cowboys		Date: 15-Jan-78		 Winning QB: Roger Staubach		 Winning Coach: Tom Landry		 Harvey Martin Randy White		Points: 27 vs 10

Team: Pittsburgh Steelers		Date: 21-Jan-79		 Winning QB: Terry Bradshaw		 Winning Coach: Chuck Noll		 Terry Bradshaw		Points: 35 vs 31

Team: Pittsburgh Steelers		Date: 20-Jan-80		 Winning QB: Terry Bradshaw		 Winning Coach: Chuck Noll		 Terry Bradshaw		Points: 31 vs 19

Team: Oakland Raiders		Date: 25-Jan-81		 Winning QB: Jim Plunkett		 Winning Coach: Tom Flores		 Jim Plunkett		Points: 27 vs 10

Team: San Francisco 49ers		Date: 24-Jan-82		 Winning QB: Joe Montana		 Winning Coach: Bill Walsh		 Joe Montana		Points: 26 vs 21

Team: Washington Redskins		Date: 30-Jan-83		 Winning QB: Joe Theismann		 Winning Coach: Joe Gibbs		 John Riggins		Points: 27 vs 17

Team: Los Angeles Raiders		Date: 22-Jan-84		 Winning QB: Jim Plunkett		 Winning Coach: Tom Flores		 Marcus Allen		Points: 38 vs 9

Team: San Francisco 49ers		Date: 20-Jan-85		 Winning QB: Joe Montano		 Winning Coach: Bill Walsh		 Joe Montana		Points: 38 vs 16

Team: Chicago Bears		Date: 26-Jan-86		 Winning QB: Jim McMahon		 Winning Coach: Mike Ditka		 Richard Dent		Points: 46 vs 10

Team: New York Giants		Date: 25-Jan-87		 Winning QB: Phil Simms		 Winning Coach: Bill Parcells		 Phil Simms		Points: 39 vs 20

Team: Washington Redskins		Date: 31-Jan-88		 Winning QB: Doug Williams		 Winning Coach: Joe Gibbs		 Doug Williams		Points: 42 vs 10

